gene_symbol,uniprot,accession_count,main_location,additional_location,if_reliability
ADAMTS5,Q9UNA0,1,Nucleoplasm,,Supported
ADAMTS6,Q9UKP5,1,,,
ADAMTS7,Q9UKP4,1,Vesicles,,Supported
ADAMTS8,Q9UP79,1,,,
ADAMTS9,Q9P2N4,1,Vesicles,Endoplasmic reticulum,Approved
ADAMTSL1,Q8N6G6,1,Vesicles,,Approved
ADAMTSL2,Q86TH1,1,Vesicles,,Approved
ADAMTSL3,P82987,1,Vesicles,,Approved
ADAMTSL4,Q6UY14,1,"Plasma membrane, Cytosol",,Approved
ADAMTSL5,,0,Golgi apparatus,,Approved
ADAP1,O75689,1,"Plasma membrane, Cytosol",,Supported
ADAP2,Q9NPF8,1,,,
ADAR,P55265,1,Nucleoli,Nucleoplasm,Enhanced
ADARB1,P78563,1,Nucleoplasm,Cytosol,Supported
ADARB2,Q9NS39,1,,,
ADAT1,Q9BUB4,1,Nucleoplasm,,Supported
ADAT2,Q7Z6V5,1,Golgi apparatus,"Nucleoplasm, Cytosol",Approved
ADAT3,,0,Nucleoplasm,,Approved
ADCK1,Q86TW2,1,Nucleoplasm,,Uncertain
ADCK2,Q7Z695,1,"Centrosome, Cytosol",,Uncertain
ADCK5,Q3MIX3,1,"Plasma membrane, Cytosol",,Approved
ADCY1,Q08828,1,Mitochondria,,Uncertain
ADCY10,Q96PN6,1,,,
ADCY2,Q08462,1,,,
ADCY3,O60266,1,,,
ADCY4,Q8NFM4,1,,,
ADCY5,O95622,1,Intermediate filaments,Vesicles,Approved
ADCY6,O43306,1,Golgi apparatus,,Approved
ADCY7,P51828,1,Plasma membrane,,Approved
ADCY8,P40145,1,,,
ADCY9,O60503,1,Plasma membrane,Cytosol,Supported
ADCYAP1,P18509,1,,,
ADCYAP1R1,P41586,1,Vesicles,,Enhanced
ADD1,P35611,1,Plasma membrane,Nucleoplasm,Enhanced
ADD2,P35612,1,"Nucleoplasm, Cytosol",Plasma membrane,Approved
ADD3,Q9UEY8,1,Plasma membrane,,Supported
ADGB,Q8N7X0,1,Mitochondria,Nucleoplasm,Uncertain
ADGRA1,Q86SQ6,1,,,
ADGRA2,Q96PE1,1,Plasma membrane,Vesicles,Supported
ADGRA3,Q8IWK6,1,,,
ADGRB1,O14514,1,,,
ADGRB2,O60241,1,Plasma membrane,,Supported
ADGRB3,O60242,1,,,
ADGRD1,Q6QNK2,1,Plasma membrane,"Nucleoplasm, Nuclear speckles",Approved
ADGRD2,Q7Z7M1,1,,,
ADGRE1,Q14246,1,,,
ADGRE2,Q9UHX3,1,Vesicles,Cytosol,Uncertain
ADGRE3,Q9BY15,1,,,
ADGRE5,P48960,1,Cytosol,,Approved
ADGRF1,Q5T601,1,,,
ADGRF2,Q8IZF7,1,,,
ADGRF3,Q8IZF5,1,Golgi apparatus,Cytosol,Approved
ADGRF4,Q8IZF3,1,Mitochondria,,Uncertain
ADGRF5,Q8IZF2,1,,,
ADGRG1,Q9Y653,1,,,
ADGRG2,Q8IZP9,1,"Plasma membrane, Cytosol",,Approved
ADGRG3,Q86Y34,1,,,
ADGRG4,Q8IZF6,1,,,
ADGRG5,Q8IZF4,1,"Nuclear membrane, Vesicles",Nucleoplasm,Approved
ADGRG6,Q86SQ4,1,,,
ADGRG7,Q96K78,1,Plasma membrane,,Approved
ADGRL1,O94910,1,,,
ADGRL2,O95490,1,Plasma membrane,,Approved
ADGRL3,Q9HAR2,1,,,
ADGRL4,Q9HBW9,1,,,
ADGRV1,Q8WXG9,1,Lipid droplets,,Approved
ADH1A,P07327,1,"Plasma membrane, Cytosol",,Approved
ADH1B,P00325,1,"Plasma membrane, Cytosol",,Approved
ADH1C,P00326,1,"Plasma membrane, Cytosol",,Supported
ADH4,P08319,1,"Nucleoplasm, Cytosol",,Uncertain
ADH5,P11766,1,,,
ADH6,P28332,1,,,
